,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Denton.additive1 &export.q) ,,RMSE(Denton.additive2 & export.q) ,,RMSE(Denton.additive1 &indicator.q) ,,RMSE(Denton.additive2 & indicator.q) ,,RMSE(Denton.additive1 &export.q) ,RMSE(Denton.additive2 & export.q) 
Quarters,Denton.additive1,Denton.additive1,Denton.additive1,Denton.additive2,Denton.additive2,Denton.additive2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Denton.additive1,Denton.additive2
2009q1,3193.469175,,,2929.192359,,,4355.1,,,2091,,,,,,,,,,,-1161.630825,-1425.907641
2009q2,3850.559175,20.57605582,,3784.256341,29.19111746,,3352.9,-23.01210076,,2011,-3.825920612,,43.58815657,,52.20321821,,24.40197643,,33.01703807,,497.659175,431.356341
2009q3,4303.27,11.75701514,,4443.681854,17.425498,,3970,18.40496287,,2092,4.027846842,,-6.647947733,,-0.979464868,,7.729168293,,13.39765116,,333.27,473.681854
2009q4,4233.701649,-1.61663923,,4423.869445,-0.445855704,,3905,-1.637279597,,2016.1,-3.628107075,,0.020640367,,1.191423893,,2.011467844,,3.182251371,,328.701649,518.869445
2010q1,3886.954123,-8.190173866,21.71572387,4092.030303,-7.501106127,39.69824448,3875,-0.768245839,-11.02385709,2028.4,0.610088785,-2.993782879,-7.421928027,-17.98252061,-6.732860289,50.72210157,-8.800262651,24.70950675,-8.111194913,42.69202736,11.954123,217.030303
2010q2,3888.003463,0.02699646,0.972437672,3913.486256,-4.363214194,3.414935548,3410,-12,1.70300337,2184.3,7.685860777,8.617603182,12.02699646,-2.442497876,7.636785806,1.711932177,-7.658864317,-7.645165511,-12.04907497,-5.202667635,478.003463,503.486256
2010q3,3947.14967,1.521248825,-8.275574854,3839.401391,-1.893065675,-13.59864371,4270,25.21994135,7.556675063,2194.1,0.44865632,4.880497132,-23.69869252,5.323068858,-27.11300702,-21.15531877,1.072592505,-13.15607199,-2.341721995,-18.47914084,-322.85033,-430.598609
2010q3,4510.892743,14.28228266,6.547251483,4388.082049,14.29078656,-0.808961396,4680,9.601873536,19.84635083,2504.3,14.13791532,24.2150687,4.680409127,7.356212879,4.688913024,-20.65531223,0.144367345,-17.66781721,0.152871242,-25.02403009,-169.107257,-291.917951
2011q1,4888.232683,8.365083399,25.75997885,4771.276827,8.732625637,16.59925449,5037,7.628205128,29.98709677,2423.9,-3.210477978,19.4981266,0.736878271,9.160724355,1.104420509,-13.38784228,11.57556138,6.261852248,11.94310362,-2.898872107,-148.767317,-265.723173
