,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Denton.prop1 &export.q) ,,RMSE(Denton.prop2 & export.q) ,,RMSE(Denton.prop1 & indicator.q) ,,RMSE(Denton.prop2 & indicator.q) ,,RMSE(Denton.prop1 &export.q) ,RMSE(Denton.prop2 & export.q) 
Quarters,Denton.prop1,Denton.prop1,Denton.prop1,Denton.prop2 ,Denton.prop2 ,Denton.prop2 ,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,,
2009q1,3215.646727,,,2935.098308,,,4355.1,,,2091,,,,,,,,,,,-1139.453273,-1420.001692
2009q2,3811.964044,18.54424219,,3738.793785,27.38223366,,3352.9,-23.01210076,,2011,-3.825920612,,41.55634294,,50.39433442,,22.3701628,,31.20815427,,459.064044,385.8937852
2009q3,4351.377174,14.15053038,,4496.798097,20.2740337,,3970,18.40496287,,2092,4.027846842,,-4.254432491,,1.869070834,,10.12268353,,16.24618686,,381.377174,526.7980973
2009q4,4202.012056,-3.432594143,,4410.309809,-1.923330471,,3905,-1.637279597,,2016.1,-3.628107075,,-1.795314546,,-0.286050874,,0.195512932,,1.704776604,,297.012056,505.3098093
2010q1,3883.888675,-7.570739369,20.78095029,4099.49375,-7.047488114,39.671429,3875,-0.768245839,-11.02385709,2028.4,0.610088785,-2.993782879,-6.80249353,31.80480738,-6.279242275,50.69528609,-8.180828154,23.77473317,-7.657576899,42.66521188,8.888675,224.4937497
2010q2,3950.79406,1.722639102,3.641955024,3992.738585,-2.604106059,6.792158486,3410,-12,1.70300337,2184.3,7.685860777,8.617603182,13.7226391,1.938951653,9.395893941,5.089155116,-5.963221675,-4.975648159,-10.28996684,-1.825444697,540.79406,582.7385846
2010q3,3885.771131,-1.645819246,-10.7001996,3776.000566,-5.428304763,-16.02912819,4270,25.21994135,7.556675063,2194.1,0.44865632,4.880497132,-26.86576059,-18.25687466,-30.64824611,-23.58580325,-2.094475566,-15.58069673,-5.876961083,-20.90962532,-384.228869,-493.9994342
2010q3,4512.546134,16.13000308,7.390128202,4364.7671,15.59233173,-1.032641952,4680,9.601873536,19.84635083,2504.3,14.13791532,24.2150687,6.528129541,-12.45622263,5.990458189,-20.87899278,1.992087759,-16.8249405,1.454416407,-25.24771065,-167.453866,-315.2329
2011q1,4632.449267,2.657105976,19.27348219,4523.003692,3.625315807,10.33078638,5037,7.628205128,29.98709677,2423.9,-3.210477978,19.4981266,-4.971099152,-10.71361459,-4.002889321,-19.6563104,5.867583954,-0.224644414,6.835793785,-9.167340224,-404.550733,-513.9963084
2011q2,5834.10555,25.93997719,47.66918906,5837.317306,29.05842454,46.19833437,5257,4.367679174,54.16422287,2944.9,21.49428607,34.82122419,21.57229801,-6.49503381,24.69074537,-7.965888505,4.445691118,12.84796487,7.564138474,11.37711018,577.10555,580.3173063
2011q3,5806.674948,-0.470176649,49.43430151,5875.991023,0.662525512,55.61414572,5718,8.769260034,33.91100703,2898.6,-1.572209583,32.10883734,-9.239436684,15.52329449,-8.106734522,21.70313869,1.102032933,17.32546418,2.234735095,23.50530838,88.674948,157.9910227
2011q4,6318.770235,8.819079621,40.02671767,6355.687979,8.163677494,45.61345047,6580,15.07520112,40.5982906,3193.8,10.18422687,27.53264385,-6.256121498,-0.571572924,-6.911523626,5.015159875,-1.365147247,12.49407382,-2.020549374,18.08080662,-261.229765,-224.3120206
2012q1,6022.75193,-4.684745512,30.0122588,6055.110403,-4.729268928,33.87365599,6104,-7.234042553,21.18324399,3166.8,-0.845387939,30.64895416,2.549297041,8.82901481,2.504773625,12.690412,-3.839357573,-0.63669536,-3.883880989,3.224701829,-81.24807,-48.88959738
