,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Den.chol.add1 &export.q) ,,RMSE(Den.chol.add2 & export.q) ,,RMSE(Den.chol.add1 &indicator.q) ,,RMSE(Den.chol.add2 & indicator.q) ,,RMSE(Den.chol.add1 &export.q) ,RMSE(Den.chol.add2 & export.q) 
Quarters,Den.chol.add1,Den.chol.add1,Den.chol.add1,Den.chol.add2,Den.chol.add2,Den.chol.add2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Absolute,Absolute
2009q1,3992.478056,,,4174.230228,,,4355.1,,,2091,,,,,,,,,,,-362.621944,-180.869772
2009q2,3888.976834,-2.592405532,,3921.189458,-6.061974452,,3352.9,-23.01210076,,2011,-3.825920612,,20.41969522,,16.9501263,,1.23351508,,-2.23605384,,536.076834,568.289458
2009q3,3922.974389,0.874203073,,3841.852639,-2.023284512,,3970,18.40496287,,2092,4.027846842,,-17.53075979,,-20.42824738,,-3.153643769,,-6.051131355,,-47.025611,-128.147361
2009q4,3776.570721,-3.731955743,,3643.727676,-5.157016201,,3905,-1.637279597,,2016.1,-3.628107075,,-2.094676146,,-3.519736604,,-0.103848668,,-1.528909126,,-128.429279,-261.272324
2010q1,3694.865832,-2.163467734,-7.454323351,3610.026423,-0.924911409,-13.51635569,3875,-0.768245839,-11.02385709,2028.4,0.610088785,-2.993782879,-1.395221895,3.569533736,-0.156665571,-2.492498604,-2.773556519,-4.460540472,-1.535000195,-10.52257281,-180.134168,-264.973577
2010q2,3878.767543,4.977222973,-0.262518689,3846.964686,6.563338747,-1.892914709,3410,-12,1.70300337,2184.3,7.685860777,8.617603182,16.97722297,-1.965522059,18.56333875,-3.595918079,-2.708637804,-8.880121871,-1.12252203,-10.51051789,468.767543,436.964686
2010q3,4038.575856,4.12007967,2.946781078,4073.479545,5.888145005,6.029041917,4270,25.21994135,7.556675063,2194.1,0.44865632,4.880497132,-21.09986168,-4.609893985,-19.33179634,-1.527633146,3.67142335,-1.933716054,5.439488685,1.148544785,-231.424144,-196.520455
2010q3,4620.79077,14.41634217,22.35414378,4702.529346,15.44256683,29.05819985,4680,9.601873536,19.84635083,2504.3,14.13791532,24.2150687,4.814468629,2.50779295,5.840693293,9.211849015,0.278426847,-1.860924915,1.304651511,4.843131151,-59.20923,22.529346
2011q1,4934.412285,6.78718277,33.54780686,4967.393711,5.632380906,37.59992668,5037,7.628205128,29.98709677,2423.9,-3.210477978,19.4981266,-0.841022358,3.560710084,-1.995824222,7.612829901,9.997660748,14.04968026,8.842858884,18.10180007,-102.587715,-69.606289
