,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Den.chol.prop1 &export.q) ,,RMSE(Den.chol.prop2 & export.q) ,,RMSE(Den.chol.prop1 &indicator.q) ,,RMSE(Den.chol.prop2 & indicator.q) ,,RMSE(Den.chol.prop1 &export.q) ,RMSE(Den.chol.prop2 & export.q) 
Quarters,Den.chol.prop1,Den.chol.prop1,Den.chol.prop1,Den.chol.prop2,Den.chol.prop2,Den.chol.prop2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Absolute,Absolute
2009q1,4026.243433,,,4168.452721,,,4355.1,,,2091,,,,,,,,,,,-328.856567,-186.647279
2009q2,3849.484275,-4.39017563,,3872.615255,-7.097057009,,3352.9,-23.01210076,,2011,-3.825920612,,18.62192513,,15.91504375,,-0.564255018,,-3.271136397,,496.584275,519.715255
2009q3,3958.173121,2.823465125,,3894.38616,0.56217578,,3970,18.40496287,,2092,4.027846842,,-15.58149774,,-17.84278709,,-1.204381717,,-3.465671063,,-11.826879,-75.61384
2009q4,3747.099171,-5.332610362,,3645.545864,-6.389718065,,3905,-1.637279597,,2016.1,-3.628107075,,-3.695330765,,-4.752438468,,-1.704503288,,-2.761610991,,-157.900829,-259.454136
2010q1,3679.986966,-1.79104427,-8.59998837,3603.442378,-1.154929538,-13.55443808,3875,-0.768245839,-11.02385709,2028.4,0.610088785,-2.993782879,-1.022798432,2.423868717,-0.386683699,-2.530580994,-2.401133055,-5.606205491,-1.765018323,-10.5606552,-195.013034,-271.557622
2010q2,3927.415341,6.723620961,2.024454717,3889.642571,7.9424107,0.439685197,3410,-12,1.70300337,2184.3,7.685860777,8.617603182,18.72362096,0.321451347,19.9424107,-1.263318174,-0.962239816,-6.593148465,0.256549923,-8.177917986,517.415341,479.642571
2010q3,3975.966607,1.236214196,0.449537841,4000.050563,2.838512536,2.713249243,4270,25.21994135,7.556675063,2194.1,0.44865632,4.880497132,-23.98372715,-7.107137222,-22.38142881,-4.84342582,0.787557876,-4.430959291,2.389856216,-2.167247889,-294.033393,-269.949437
2010q3,4649.631086,16.94341391,24.08614968,4739.864489,18.49511436,30.01796345,4680,9.601873536,19.84635083,2504.3,14.13791532,24.2150687,7.34154037,4.239798848,8.893240822,10.17161262,2.805498588,-0.128919017,4.35719904,5.802894753,-30.368914,59.864489
2011q1,4692.547554,0.923008024,27.51533082,4764.097204,0.511253329,32.20961248,5037,7.628205128,29.98709677,2423.9,-3.210477978,19.4981266,-6.705197104,-2.47176595,-7.116951799,2.222515709,4.133486002,8.017204222,3.721731307,12.71148588,-344.452446,-272.902796
